cityid,sb,gbn,gbn+,lbn,fbn
aachen_de,1,0,0,1,1
aalborg_dk,1,0,0,1,1
aarhus_dk,1,0,0,1,1
aixenprovence_fr,1,0,1,1,0
alcaladehenares_es,1,0,1,1,0
alchevsk_ua,1,1,0,0,0
alcobendas_es,1,0,1,1,1
alcorcon_es,1,0,1,1,1
alkmaar_nl,1,0,1,1,1
almere_nl,1,0,0,0,1
almeria_es,1,0,1,1,0
alphenaanden_nl,1,0,0,1,1
amadora_pt,1,1,1,0,0
amersfoort_nl,1,0,0,1,1
amiens_fr,1,0,0,1,0
amsterdam_nl,1,0,0,0,1
anderlecht_be,1,0,0,1,1
andorralavella_ad,1,0,1,1,1
angers_fr,1,0,1,1,0
antwerp_be,1,0,0,0,1
apeldoorn_nl,1,0,0,1,1
argenteuil_fr,1,0,1,1,0
arnhem_nl,1,0,0,1,1
athens_gr,1,1,1,0,0
augsburg_de,1,0,0,1,1
badalona_es,1,0,1,1,0
banjaluka_ba,1,0,1,1,0
baranovichi_by,1,0,1,1,0
barcelona_es,1,0,0,1,1
bari_it,1,0,1,1,0
basel_ch,1,0,1,1,0
belfast_gb,1,0,1,1,0
belgrade_rs,1,0,1,1,0
berdyansk_ua,1,1,0,0,0
bergamo_it,1,0,0,1,1
bergischgladbach_de,1,0,0,1,0
berlin_de,1,0,0,1,1
bern_ch,1,0,0,1,0
besancon_fr,1,0,0,1,1
bialystok_pl,1,0,0,1,1
bielefeld_de,1,0,0,1,0
bielskobiala_pl,1,0,0,1,0
bilatserkva_ua,1,0,1,1,0
birmingham_gb,1,0,1,1,1
bobruisk_by,1,1,1,0,0
bochum_de,1,0,0,1,0
bologna_it,1,0,1,1,1
bonn_de,1,0,0,1,1
bordeaux_fr,1,0,1,1,0
borisov_by,1,1,0,0,0
bottrop_de,1,0,0,1,1
boulognebillancourt_fr,1,0,1,1,0
bournemouth_gb,1,0,1,1,0
bratislava_sk,1,0,1,1,1
braunschweig_de,1,0,0,1,1
breda_nl,1,0,0,1,1
bremen_de,1,0,0,1,1
bremerhaven_de,1,0,0,0,1
brescia_it,1,0,1,1,0
brest_by,1,0,1,1,0
brest_fr,1,0,1,1,0
brightonandhove_gb,1,0,1,1,0
bristol_gb,1,0,1,1,0
brno_cz,1,0,1,1,0
brovary_ua,1,0,1,1,0
bruges_be,1,0,0,1,1
brussels_be,1,0,0,1,1
bucharest_ro,1,0,1,1,0
budapest_hu,1,0,1,1,0
bydgoszcz_pl,1,0,1,1,1
bytom_pl,1,0,1,1,0
caen_fr,1,0,0,1,1
cagliari_it,1,0,1,1,0
castellodelaplana_es,1,0,1,1,1
charleroi_be,1,0,1,1,0
chemnitz_de,1,0,1,1,0
cherkasy_ua,1,1,0,0,0
chernihiv_ua,1,0,1,1,0
chernivtsi_ua,1,1,0,0,0
chisinau_md,1,0,1,1,0
chorzow_pl,1,0,0,1,1
clermontferrand_fr,1,0,1,1,1
cologne_de,1,0,0,1,1
copenhagen_dk,1,0,0,0,1
cork_ie,1,0,1,1,0
cottbus_de,1,0,0,1,1
coventry_gb,1,0,1,1,0
czestochowa_pl,1,0,1,1,1
dabrowagornicza_pl,1,0,1,1,0
darmstadt_de,1,0,0,1,1
debrecen_hu,1,0,1,1,0
delft_nl,1,0,0,0,1
derby_gb,1,0,1,1,1
dijon_fr,1,0,1,1,0
dnipro_ua,1,0,1,1,0
donetsk_ua,1,1,0,0,0
dordrecht_nl,1,0,0,1,1
dortmund_de,1,0,0,1,1
dresden_de,1,0,0,1,0
dublin_ie,1,0,1,1,0
duisburg_de,1,0,0,1,1
durres_al,1,1,1,0,0
dusseldorf_de,1,0,0,1,1
ede_nl,1,0,0,1,1
eindhoven_nl,1,0,0,0,1
elblag_pl,1,0,1,0,1
emmen_nl,1,0,0,1,1
enschede_nl,1,0,0,1,1
erfurt_de,1,0,1,1,1
erlangen_de,1,0,0,1,1
esbjerg_dk,1,0,0,1,1
espoo_fi,1,0,0,0,1
essen_de,1,0,0,1,0
florence_it,1,0,1,1,1
frankfurtammain_de,1,0,0,1,1
frederiksberg_dk,1,0,0,0,1
freiburgimbreisgau_de,1,0,0,1,1
funchal_pt,1,1,1,0,0
furth_de,1,0,0,1,0
gdansk_pl,1,0,1,1,1
gdynia_pl,1,0,0,1,0
gelsenkirchen_de,1,0,0,1,1
geneva_ch,1,0,0,1,1
ghent_be,1,0,0,1,1
glasgow_gb,1,0,1,1,1
gliwice_pl,1,0,1,1,0
gomel_by,1,1,1,0,0
gorzowwielkopolski_pl,1,0,0,1,1
gothenburg_se,1,0,0,1,1
graz_at,1,0,0,1,0
grenoble_fr,1,0,0,1,1
grodno_by,1,0,1,1,0
groningen_nl,1,0,0,0,1
gyor_hu,1,0,1,1,1
gottingen_de,1,0,0,1,1
gutersloh_de,1,0,0,0,1
haarlem_nl,1,0,0,0,1
haarlemmermeer_nl,1,0,0,0,1
hagen_de,1,0,1,1,0
halle_de,1,0,0,1,1
hamburg_de,1,0,0,1,1
hamm_de,1,0,1,1,1
hanover_de,1,0,0,0,1
heidelberg_de,1,0,0,1,1
heilbronn_de,1,0,0,1,1
helsinki_fi,1,0,0,0,1
herne_de,1,0,0,1,1
hildesheim_de,1,0,0,1,1
horlivka_ua,1,1,0,0,0
ingolstadt_de,1,0,0,1,1
innsbruck_at,1,0,1,1,1
ivanofrankivsk_ua,1,0,1,1,1
jena_de,1,0,0,1,0
jyvaskyla_fi,1,0,1,0,1
kallithea_gr,1,1,1,0,0
kamenetspodolsky_ua,1,1,0,0,0
kamyanske_ua,1,1,0,0,0
karlsruhe_de,1,0,0,1,1
kassel_de,1,0,1,1,0
katowice_pl,1,0,0,1,0
kaunas_lt,1,0,0,1,1
kecskemet_hu,1,0,1,1,0
kharkiv_ua,1,1,1,0,0
kherson_ua,1,1,0,0,0
khmelnitsky_ua,1,1,1,0,0
kiel_de,1,0,0,1,1
kielce_pl,1,0,1,1,1
kingstonuponhull_gb,1,0,1,1,1
klagenfurt_at,1,0,1,1,1
klaipeda_lt,1,0,0,1,1
koblenz_de,1,0,0,1,0
kosice_sk,1,0,1,1,0
koszalin_pl,1,0,0,0,1
kragujevac_rs,1,0,1,1,0
krakow_pl,1,0,1,1,1
kramatorsk_ua,1,1,0,0,0
krefeld_de,1,0,0,1,1
kremenchuk_ua,1,1,0,0,0
kropyvnytskyi_ua,1,1,1,0,0
kryvyirih_ua,1,1,0,0,0
kuopio_fi,1,0,1,1,0
kyiv_ua,1,0,1,1,0
lhospitaletdellobregat_es,1,0,0,1,1
lahti_fi,1,0,1,0,1
lausanne_ch,1,0,1,1,0
lehavre_fr,1,0,1,1,0
lemans_fr,1,0,1,1,0
leeuwarden_nl,1,0,0,1,1
leicester_gb,1,0,1,1,1
leiden_nl,1,0,0,1,1
leipzig_de,1,0,0,1,1
leverkusen_de,1,0,0,1,1
leon_es,1,0,1,1,1
liberec_cz,1,0,1,1,0
lida_by,1,1,0,0,0
lille_fr,1,0,0,1,0
limoges_fr,1,0,1,1,0
linz_at,1,0,0,1,1
lisbon_pt,1,0,1,1,1
liverpool_gb,1,0,1,1,0
livorno_it,1,0,0,1,1
liege_be,1,0,0,1,1
ljubljana_si,1,0,1,1,1
lodz_pl,1,0,1,1,1
london_gb,1,0,1,1,0
lublin_pl,1,0,0,1,1
ludwigshafenamrhein_de,1,0,0,1,1
luhansk_ua,1,1,0,0,0
luton_gb,1,0,1,1,0
lutsk_ua,1,0,1,1,0
luxembourg_lu,1,0,0,1,1
lviv_ua,1,0,1,1,0
lyon_fr,1,0,0,1,1
lubeck_de,1,0,0,1,1
maastricht_nl,1,0,0,1,1
madrid_es,1,0,1,1,0
magdeburg_de,1,0,0,1,1
mainz_de,1,0,0,1,1
makijivka_ua,1,1,0,0,0
malmo_se,1,0,0,0,1
manchester_gb,1,0,1,1,0
mannheim_de,1,0,0,1,1
marbella_es,1,0,1,1,0
mariupol_ua,1,1,1,0,0
marseille_fr,1,0,1,1,0
melitopol_ua,1,0,1,1,0
messina_it,1,1,0,0,0
metz_fr,1,0,0,1,0
milan_it,1,0,1,1,0
minsk_by,1,0,1,1,0
miskolc_hu,1,1,1,0,0
moers_de,1,0,0,1,1
mogilev_by,1,0,1,1,0
montpellier_fr,1,0,0,1,0
montreuil_fr,1,0,0,1,1
monza_it,1,0,0,1,1
mozir_by,1,1,1,0,0
mulhouse_fr,1,0,1,1,0
munich_de,1,0,0,0,1
mykolaiv_ua,1,1,0,0,0
monchengladbach_de,1,0,0,1,1
mulheimanderruhr_de,1,0,0,1,1
munster_de,1,0,0,1,1
namur_be,1,0,1,1,0
nancy_fr,1,0,0,1,1
nantes_fr,1,0,0,1,1
naples_it,1,1,1,0,0
neuss_de,1,0,0,1,1
newcastleupontyne_gb,1,0,1,1,1
nice_fr,1,0,1,1,0
nijmegen_nl,1,0,0,1,1
nikopol_ua,1,1,0,0,0
