cityid;name_en;country_en;nominatim_query;country_code;population;center_lat;center_lon
cherkasy_ua;Cherkasy;Ukraine;Cherkasy, Cherkasy;UA;267361;49.42952;32.04252
chernihiv_ua;Chernihiv;Ukraine;Chernihiv, Chernihiv;UA;276927;51.49684;31.30046
chernivtsi_ua;Chernivtsi;Ukraine;Chernivtsi;UA;260540;48.31162;25.91938
chisinau_md;Chișinău;Moldova;Chișinău;MD;339079;46.99733;28.86379
chorzow_pl;Chorzów;Poland;Chorzów;PL;106717;50.29145;18.96159
clermontferrand_fr;Clermont-Ferrand;France;Clermont-Ferrand;FR;141398;45.78701;3.11108
cologne_de;Cologne;Germany;Cologne;DE;1085664;50.96086;6.97746
copenhagen_dk;Copenhagen;Denmark;;DK;638790;55.67188;12.54893
cork_ie;Cork;Ireland;Cork;IE;124391;51.89389;-8.49894
cottbus_de;Cottbus;Germany;Cottbus;DE;100219;51.7765;14.35077
coventry_gb;Coventry;United Kingdom;Coventry, United Kingdom;GB;325949;52.41161;-1.51659
czestochowa_pl;Czestochowa;Poland;Czestochowa;PL;218812;50.81197;19.1192
dabrowagornicza_pl;Dabrowa Górnicza;Poland;Dabrowa Górnicza;PL;118003;50.36623;19.32146
darmstadt_de;Darmstadt;Germany;Darmstadt;DE;159207;49.87465;8.67211
debrecen_hu;Debrecen;Hungary;Debrecen;HU;201043;47.5282;21.67295
delft_nl;Delft;Netherlands;Delft;NL;101030;51.99955;4.36233
derby_gb;Derby;United Kingdom;Derby;GB;255394;52.91376;-1.4708
dijon_fr;Dijon;France;Dijon;FR;155114;47.33348;5.04245
dnipro_ua;Dnipro;Ukraine;Dnipro;UA;958377;48.46003;34.99667
donetsk_ua;Donetsk;Ukraine;Donetsk, Donetsk;UA;892980;47.98686;37.76341
dordrecht_nl;Dordrecht;Netherlands;Dordrecht;NL;118899;51.76897;4.70511
dortmund_de;Dortmund;Germany;Dortmund;DE;587010;51.50417;7.47351
dresden_de;Dresden;Germany;Dresden;DE;554649;51.07231;13.77256
dublin_ie;Dublin;Ireland;Dublin;IE;544107;53.35476;-6.26449
duisburg_de;Duisburg;Germany;Duisburg;DE;498590;51.44232;6.73025
durres_al;Durrës;Albania;Durrës, Bashkia Durrës, Northern Albania;AL;113249;41.33122;19.46745
dusseldorf_de;Düsseldorf;Germany;Düsseldorf;DE;619294;51.23785;6.81438
ede_nl;Ede;Netherlands;Ede 16, Netherlands;NL;111575;52.0526;5.69692
eindhoven_nl;Eindhoven;Netherlands;Eindhoven;NL;223209;51.45066;5.45132
elblag_pl;Elblag;Poland;Elblag;PL;117164;54.19043;19.43341
emmen_nl;Emmen;Netherlands;Emmen 16;NL;107775;52.7801;6.90521
enschede_nl;Enschede;Netherlands;Enschede;NL;158553;52.2237;6.8719
erfurt_de;Erfurt;Germany;Erfurt;DE;213699;50.9856;11.0175
erlangen_de;Erlangen;Germany;Erlangen;DE;111962;49.58993;10.98563
esbjerg_dk;Esbjerg;Denmark;;DK;115529;55.49009;8.46959
espoo_fi;Espoo;Finland;Espoo;FI;292796;60.23507;24.67779
essen_de;Essen;Germany;Essen;DE;583109;51.44152;7.01618
florence_it;Florence;Italy;Florence;IT;365019;43.78005;11.24315
frankfurtammain_de;Frankfurt Am Main;Germany;Frankfurt Am Main;DE;753056;50.11854;8.63165
frederiksberg_dk;Frederiksberg;Denmark;Frederiksberg Municipality;DK;102940;55.68208;12.52404
freiburgimbreisgau_de;Freiburg Im Breisgau;Germany;Freiburg Im Breisgau;DE;230241;48.00615;7.80046
funchal_pt;Funchal;Portugal;Funchal;PT;105701;32.68112;-16.91345
furth_de;Fürth;Germany;Fürth;DE;127748;49.4897;10.9612
gdansk_pl;Gdansk;Poland;Gdansk;PL;472094;54.3622;18.60787
gdynia_pl;Gdynia;Poland;Gdynia;PL;243124;54.51241;18.47539
gelsenkirchen_de;Gelsenkirchen;Germany;Gelsenkirchen;DE;260654;51.55286;7.06642
geneva_ch;Geneva;Switzerland;Geneva;CH;203401;46.20676;6.14257
ghent_be;Ghent;Belgium;Ghent;BE;248358;51.08503;3.70857
glasgow_gb;Glasgow;United Kingdom;Glasgow City;GB;1209143;55.85598;-4.23862
gliwice_pl;Gliwice;Poland;Gliwice;PL;177056;50.29901;18.65204
gomel_by;Gomel;Belarus;Gomel;BY;510243;52.42037;30.95051
gorzowwielkopolski_pl;Gorzów Wielkopolski;Poland;Gorzów Wielkopolski;PL;121878;52.73087;15.21398
gothenburg_se;Gothenburg;Sweden;Göteborg;SE;491629;57.71185;11.9558
graz_at;Graz;Austria;Graz;AT;288806;47.07137;15.43644
grenoble_fr;Grenoble;France;Grenoble;FR;160649;45.18407;5.71872
grodno_by;Grodno;Belarus;Grodno;BY;356686;53.67976;23.85054
groningen_nl;Groningen;Netherlands;Groningen;NL;200336;53.22148;6.5633
gyor_hu;Györ;Hungary;Györ;HU;133340;47.67745;17.67771
gottingen_de;Göttingen;Germany;Göttingen;DE;119801;51.53432;9.93307
gutersloh_de;Gütersloh;Germany;Gütersloh;DE;100194;51.91703;8.39024
haarlem_nl;Haarlem;Netherlands;Haarlem;NL;156645;52.38561;4.64361
haarlemmermeer_nl;Haarlemmermeer;Netherlands;Haarlemmermeer;NL;144152;52.32351;4.6848
hagen_de;Hagen;Germany;Hagen;DE;188814;51.34275;7.4883
halle_de;Halle;Germany;Halle;DE;239257;51.47123;11.97542
hamburg_de;Hamburg;Germany;Hamburg;DE;1841179;53.5593;10.02285
hamm_de;Hamm;Germany;Hamm;DE;179111;51.65846;7.8364
hanover_de;Hanover;Germany;Hanover;DE;538068;52.37875;9.75052
heidelberg_de;Heidelberg;Germany;Heidelberg;DE;160355;49.4061;8.69623
heilbronn_de;Heilbronn;Germany;Heilbronn;DE;125960;49.15362;9.17699
helsinki_fi;Helsinki;Finland;Helsinki;FI;656920;60.21483;25.0373
herne_de;Herne;Germany;Herne;DE;156374;51.5367;7.20473
hildesheim_de;Hildesheim;Germany;Hildesheim;DE;101990;52.1467;9.95824
horlivka_ua;Horlivka;Ukraine;Horlivka;UA;237640;48.32691;38.06825
ingolstadt_de;Ingolstadt;Germany;Ingolstadt;DE;136981;48.75482;11.38391
innsbruck_at;Innsbruck;Austria;Innsbruck;AT;132110;47.25944;11.38547
ivanofrankivsk_ua;Ivano-Frankivsk;Ukraine;Ivano-Frankivsk, Ivano-Frankivsk;UA;235343;48.90816;24.70727
jena_de;Jena;Germany;Jena;DE;111407;50.9184;11.58414
jyvaskyla_fi;Jyvaskyla;Finland;Jyvaskyla;FI;143420;62.1377;25.65991
kallithea_gr;Kallithea;Greece;Καλλιθέα;GR;100641;37.94916;23.7015
kamenetspodolsky_ua;Kamenets Podolsky;Ukraine;Kamenets Podolsky;UA;226295;48.6912;26.58071
kamyanske_ua;Kamyanske;Ukraine;Kamyanske;UA;226295;48.4997;34.59989
karlsruhe_de;Karlsruhe;Germany;Karlsruhe;DE;313092;49.00502;8.40467
kassel_de;Kassel;Germany;Kassel;DE;201585;51.30927;9.47016
katowice_pl;Katowice;Poland;Katowice;PL;296468;50.23159;19.01482
kaunas_lt;Kaunas;Lithuania;Kaunas;LT;298753;54.89504;23.93633
kecskemet_hu;Kecskemét;Hungary;Kecskemét;HU;110012;46.89953;19.69495
kharkiv_ua;Kharkiv;Ukraine;Kharkiv;UA;1401558;49.99166;36.28332
kherson_ua;Kherson;Ukraine;Kherson, Kherson;UA;275529;46.64888;32.63401
khmelnitsky_ua;Khmelnitsky;Ukraine;Khmelnytskyi, Khmelnytskyi;UA;271618;49.41155;26.99714
kiel_de;Kiel;Germany;Kiel;DE;247548;54.34215;10.12643
kielce_pl;Kielce;Poland;Kielce;PL;192650;50.85508;20.6014
kingstonuponhull_gb;Kingston-Upon-Hull;United Kingdom;Kingston-Upon-Hull;GB;284321;53.76454;-0.33363
klagenfurt_at;Klagenfurt;Austria;Klagenfurt;AT;100817;46.64034;14.30715
klaipeda_lt;Klaipeda;Lithuania;Klaipeda;LT;152008;55.70959;21.16029
koblenz_de;Koblenz;Germany;Koblenz;DE;114024;50.35104;7.58048
kosice_sk;Kosice;Slovakia;Kosice;SK;238676;48.70354;21.23634
koszalin_pl;Koszalin;Poland;Koszalin;PL;105714;54.20837;16.20806
kragujevac_rs;Kragujevac;Serbia;Kragujevac;RS;147786;44.01667;20.90886
krakow_pl;Krakow;Poland;Krakow;PL;777520;50.04427;20.00198
kramatorsk_ua;Kramatorsk;Ukraine;Kramatorsk;UA;146693;48.72904;37.55832
krefeld_de;Krefeld;Germany;Krefeld;DE;227020;51.34332;6.59342
kremenchuk_ua;Kremenchuk;Ukraine;Kremenchuk;UA;214291;49.09073;33.43334
kropyvnytskyi_ua;Kropyvnytskyi;Ukraine;Kropyvnytskyi;UA;216535;48.52116;32.22413
kryvyirih_ua;Kryvyi Rih;Ukraine;Kryvyi Rih;UA;602390;47.91188;33.37017
kuopio_fi;Kuopio;Finland;Kuopio;FI;120210;63.00657;27.32763
kyiv_ua;Kyiv;Ukraine;Kyiv;UA;2910994;50.40838;30.51383
lhospitaletdellobregat_es;L'Hospitalet De Llobregat;Spain;L'Hospitalet De Llobregat;ES;265003;41.35837;2.11102
lahti_fi;Lahti;Finland;Lahti;FI;119984;60.996;25.84218
lausanne_ch;Lausanne;Switzerland;Lausanne;CH;140619;46.54889;6.64951
lehavre_fr;Le Havre;France;Le Havre;FR;172366;49.49703;0.13341
lemans_fr;Le Mans;France;Le Mans;FR;143325;47.98504;0.19196
leeuwarden_nl;Leeuwarden;Netherlands;Leeuwarden;NL;107691;53.19465;5.81967
leicester_gb;Leicester;United Kingdom;Leicester City;GB;443760;52.63856;-1.12337
leiden_nl;Leiden;Netherlands;Leiden;NL;121562;52.15347;4.48201
leipzig_de;Leipzig;Germany;Leipzig;DE;587857;51.33277;12.38641
leverkusen_de;Leverkusen;Germany;Leverkusen;DE;163838;51.05383;7.00507
leon_es;León;Spain;León 16, Spain;ES;122398;42.59327;-5.57498
liberec_cz;Liberec;Czech Republic;Liberec;CZ;104340;50.76752;15.0461
lida_by;Lida;Belarus;Lida, Belarus;BY;102794;53.90251;25.28994
lille_fr;Lille;France;Lille;FR;232741;50.62964;3.04595
limoges_fr;Limoges;France;Limoges;FR;133627;45.86174;1.2306
linz_at;Linz;Austria;Linz;AT;205726;48.28152;14.3246
lisbon_pt;Lisbon;Portugal;Lisbon;PT;545142;38.74399;-9.15927
liverpool_gb;Liverpool;United Kingdom;Liverpool;GB;552267;53.4049;-2.91146
livorno_it;Livorno;Italy;Livorno, Livorno;IT;154927;43.51806;10.35868
liege_be;Liège;Belgium;Liège;BE;195965;50.62803;5.59842
ljubljana_si;Ljubljana;Slovenia;Ljubljana;SI;285604;46.06081;14.5812
lodz_pl;Lodz;Poland;Lodz;PL;677864;51.77029;19.47506
london_gb;London;United Kingdom;London;GB;8135667;51.48708;-0.09428
lublin_pl;Lublin;Poland;Lublin, Lublin Voivodeship;PL;341591;51.21379;22.56498
ludwigshafenamrhein_de;Ludwigshafen Am Rhein;Germany;Ludwigshafen Am Rhein;DE;171061;49.48801;8.39165
luhansk_ua;Luhansk;Ukraine;Luhansk, Luhansk;UA;394202;48.56881;39.33427
luton_gb;Luton;United Kingdom;Luton;GB;211228;51.89265;-0.43164
lutsk_ua;Luts'K;Ukraine;Lutsk;UA;212903;50.74008;25.3347
luxembourg_lu;Luxembourg;Luxembourg;Luxembourg, Luxembourg;LU;128494;49.60883;6.1405
lviv_ua;Lviv;Ukraine;Lviv;UA;710606;49.83589;24.01201
lyon_fr;Lyon;France;Lyon;FR;513275;45.76135;4.83564
lubeck_de;Lübeck;Germany;Lübeck;DE;217198;53.8808;10.72386
maastricht_nl;Maastricht;Netherlands;Maastricht;NL;122397;50.85363;5.69719
madrid_es;Madrid;Spain;Madrid;ES;3277451;40.45355;-3.67668
magdeburg_de;Magdeburg;Germany;Magdeburg;DE;238697;52.13795;11.6304
mainz_de;Mainz;Germany;Mainz;DE;217118;49.96998;8.2389
makijivka_ua;Makijivka;Ukraine;Makijivka;UA;337277;48.05509;37.96778
malmo_se;Malmo;Sweden;Malmo;SE;278522;55.59868;13.01915
manchester_gb;Manchester;United Kingdom;Manchester;GB;510746;53.44351;-2.23062
