cityid,cov_ratio,l_ratio,gcc1,gcc2,gcc3
frankfurtammain_de,0.90,0.31,0.08,0.07,0.06
frederiksberg_dk,0.94,0.41,0.91,0.02,0.02
freiburgimbreisgau_de,0.79,0.42,0.46,0.05,0.04
funchal_pt,0.31,0.04,0.19,0.17,0.09
furth_de,0.67,0.22,0.07,0.07,0.07
gdansk_pl,0.58,0.25,0.41,0.05,0.04
gdynia_pl,0.60,0.20,0.19,0.12,0.10
gelsenkirchen_de,0.92,0.44,0.29,0.17,0.04
geneva_ch,0.99,0.29,0.16,0.08,0.04
ghent_be,0.81,0.37,0.37,0.07,0.07
glasgow_gb,0.56,0.12,0.26,0.05,0.04
gliwice_pl,0.59,0.23,0.12,0.11,0.10
gomel_by,0.13,0.04,0.36,0.06,0.06
gorzowwielkopolski_pl,0.63,0.40,0.34,0.07,0.06
gothenburg_se,0.67,0.38,0.71,0.03,0.02
graz_at,0.71,0.22,0.17,0.09,0.09
grenoble_fr,0.97,0.32,0.43,0.12,0.07
grodno_by,0.27,0.06,0.10,0.07,0.06
groningen_nl,0.90,0.38,0.65,0.15,0.01
gyor_hu,0.41,0.19,0.42,0.22,0.14
gottingen_de,0.77,0.42,0.61,0.02,0.01
gutersloh_de,0.70,0.56,0.79,0.01,0.01
haarlem_nl,0.95,0.35,0.83,0.03,0.02
haarlemmermeer_nl,0.75,0.34,0.80,0.04,0.02
hagen_de,0.51,0.18,0.13,0.08,0.04
halle_de,0.77,0.31,0.11,0.08,0.07
hamburg_de,0.76,0.31,0.05,0.04,0.04
hamm_de,0.59,0.44,0.48,0.03,0.02
hanover_de,0.95,0.55,0.81,0.01,0.01
heidelberg_de,0.64,0.30,0.37,0.08,0.05
heilbronn_de,0.69,0.27,0.43,0.03,0.02
helsinki_fi,0.99,0.90,0.90,0.01,0.00
herne_de,0.90,0.35,0.10,0.09,0.06
hildesheim_de,0.91,0.36,0.43,0.07,0.05
horlivka_ua,0.00,0.00,1.00,0.07,0.05
ingolstadt_de,0.79,0.41,0.47,0.07,0.03
innsbruck_at,0.56,0.17,0.25,0.15,0.10
ivanofrankivsk_ua,0.40,0.14,0.29,0.12,0.06
jena_de,0.70,0.22,0.05,0.04,0.03
jyvaskyla_fi,0.19,0.25,0.80,0.03,0.02
kallithea_gr,0.54,0.04,0.56,0.16,0.12
kamenetspodolsky_ua,0.08,0.01,0.29,0.23,0.21
kamyanske_ua,0.06,0.01,0.64,0.13,0.11
karlsruhe_de,0.84,0.39,0.19,0.14,0.08
kassel_de,0.71,0.17,0.11,0.09,0.03
katowice_pl,0.64,0.20,0.10,0.07,0.05
kaunas_lt,0.61,0.24,0.26,0.08,0.04
kecskemet_hu,0.33,0.19,0.46,0.13,0.06
kharkiv_ua,0.20,0.04,0.42,0.06,0.02
kherson_ua,0.08,0.01,0.68,0.10,0.08
khmelnitsky_ua,0.15,0.03,0.30,0.06,0.06
kiel_de,0.90,0.46,0.46,0.05,0.04
kielce_pl,0.54,0.25,0.29,0.19,0.08
kingstonuponhull_gb,0.67,0.13,0.25,0.14,0.09
klagenfurt_at,0.49,0.17,0.32,0.09,0.08
klaipeda_lt,0.81,0.40,0.29,0.27,0.11
koblenz_de,0.67,0.20,0.05,0.03,0.03
kosice_sk,0.48,0.17,0.06,0.06,0.06
koszalin_pl,0.60,0.29,0.83,0.02,0.02
kragujevac_rs,0.48,0.07,0.04,0.03,0.02
krakow_pl,0.58,0.28,0.15,0.10,0.04
kramatorsk_ua,0.07,0.00,0.29,0.13,0.09
krefeld_de,0.76,0.40,0.64,0.02,0.02
kremenchuk_ua,0.03,0.01,0.46,0.17,0.17
kropyvnytskyi_ua,0.13,0.02,0.25,0.13,0.09
kryvyirih_ua,0.07,0.02,0.14,0.09,0.07
kuopio_fi,0.16,0.22,0.67,0.06,0.01
kyiv_ua,0.46,0.11,0.03,0.03,0.02
lhospitaletdellobregat_es,0.88,0.35,0.23,0.10,0.08
lahti_fi,0.37,0.45,0.81,0.10,0.01
lausanne_ch,0.50,0.17,0.18,0.04,0.03
lehavre_fr,0.71,0.17,0.09,0.08,0.08
