name_en;country_en;nominatim_query;country_code;population
Enschede;Netherlands;Enschede;NL;158553.0
Erfurt;Germany;Erfurt;DE;213699.0
Erlangen;Germany;Erlangen;DE;111962.0
Esbjerg;Denmark;;DK;115529.0
Espoo;Finland;Espoo;FI;292796.0
Essen;Germany;Essen;DE;583109.0
Florence;Italy;Florence;IT;365019.0
Frankfurt Am Main;Germany;Frankfurt Am Main;DE;753056.0
Frederiksberg;Denmark;Frederiksberg Municipality;DK;102940.0
Freiburg Im Breisgau;Germany;Freiburg Im Breisgau;DE;230241.0
Funchal;Portugal;Funchal;PT;105701.0
Fürth;Germany;Fürth;DE;127748.0
Gdansk;Poland;Gdansk;PL;472094.0
Gdynia;Poland;Gdynia;PL;243124.0
Gelsenkirchen;Germany;Gelsenkirchen;DE;260654.0
Geneva;Switzerland;Geneva;CH;203401.0
Ghent;Belgium;Ghent;BE;248358.0
Glasgow;United Kingdom;Glasgow City;GB;1209143.0
Gliwice;Poland;Gliwice;PL;177056.0
Gomel;Belarus;Gomel;BY;510243.0
Gorzów Wielkopolski;Poland;Gorzów Wielkopolski;PL;121878.0
Gothenburg;Sweden;Göteborg;SE;491629.0
Graz;Austria;Graz;AT;288806.0
Grenoble;France;Grenoble;FR;160649.0
Grodno;Belarus;Grodno;BY;356686.0
Groningen;Netherlands;Groningen;NL;200336.0
Györ;Hungary;Györ;HU;133340.0
Göttingen;Germany;Göttingen;DE;119801.0
Gütersloh;Germany;Gütersloh;DE;100194.0
Haarlem;Netherlands;Haarlem;NL;156645.0
Haarlemmermeer;Netherlands;Haarlemmermeer;NL;144152.0
Hagen;Germany;Hagen;DE;188814.0
Halle;Germany;Halle;DE;239257.0
Hamburg;Germany;Hamburg;DE;1841179.0
Hamm;Germany;Hamm;DE;179111.0
Hanover;Germany;Hanover;DE;538068.0
Heidelberg;Germany;Heidelberg;DE;160355.0
Heilbronn;Germany;Heilbronn;DE;125960.0
Helsinki;Finland;Helsinki;FI;656920.0
Herne;Germany;Herne;DE;156374.0
Hildesheim;Germany;Hildesheim;DE;101990.0
Horlivka;Ukraine;Horlivka;UA;237640.0
Ingolstadt;Germany;Ingolstadt;DE;136981.0
Innsbruck;Austria;Innsbruck;AT;132110.0
Ivano-Frankivsk;Ukraine;Ivano-Frankivsk, Ivano-Frankivsk;UA;235343.0
Jena;Germany;Jena;DE;111407.0
Jyvaskyla;Finland;Jyvaskyla;FI;143420.0
Kallithea;Greece;Καλλιθέα;GR;100641.0
Kamenets Podolsky;Ukraine;Kamenets Podolsky;UA;226295.0
Kamyanske;Ukraine;Kamyanske;UA;226295.0
Karlsruhe;Germany;Karlsruhe;DE;313092.0
Kassel;Germany;Kassel;DE;201585.0
Katowice;Poland;Katowice;PL;296468.0
Kaunas;Lithuania;Kaunas;LT;298753.0
Kecskemét;Hungary;Kecskemét;HU;110012.0
Kharkiv;Ukraine;Kharkiv;UA;1401558.0
Kherson;Ukraine;Kherson, Kherson;UA;275529.0
Khmelnitsky;Ukraine;Khmelnytskyi, Khmelnytskyi;UA;271618.0
Kiel;Germany;Kiel;DE;247548.0
Kielce;Poland;Kielce;PL;192650.0
Kingston-Upon-Hull;United Kingdom;Kingston-Upon-Hull;GB;284321.0
Klagenfurt;Austria;Klagenfurt;AT;100817.0
Klaipeda;Lithuania;Klaipeda;LT;152008.0
Koblenz;Germany;Koblenz;DE;114024.0
Kosice;Slovakia;Kosice;SK;238676.0
Koszalin;Poland;Koszalin;PL;105714.0
Kragujevac;Serbia;Kragujevac;RS;147786.0
Krakow;Poland;Krakow;PL;777520.0
Kramatorsk;Ukraine;Kramatorsk;UA;146693.0
Krefeld;Germany;Krefeld;DE;227020.0
Kremenchuk;Ukraine;Kremenchuk;UA;214291.0
Kropyvnytskyi;Ukraine;Kropyvnytskyi;UA;216535.0
Kryvyi Rih;Ukraine;Kryvyi Rih;UA;602390.0
Kuopio;Finland;Kuopio;FI;120210.0
Kyiv;Ukraine;Kyiv;UA;2910994.0
L'Hospitalet De Llobregat;Spain;L'Hospitalet De Llobregat;ES;265003.0
Lahti;Finland;Lahti;FI;119984.0
Lausanne;Switzerland;Lausanne;CH;140619.0
