name_en,country_en,nominatim_query,name,alpha-2,population
Donostia/San Sebastián,Spain,Donostia/San Sebastián,Donostia/San Sebastián,ES,187892
Dordrecht,Netherlands,Dordrecht,Dordrecht,NL,118899
Dortmund,Germany,Dortmund,Dortmund,DE,587010
Dos Hermanas,Spain,Dos Hermanas,Dos Hermanas,ES,136296
Dresden,Germany,Dresden,Dresden,DE,554649
Duisburg,Germany,Duisburg,Duisburg,DE,498590
Durrës,Albania,Durrës,Durrës,AL,113249
Düsseldorf,Germany,Düsseldorf,Düsseldorf,DE,619294
Ede,Netherlands,Ede,Ede,NL,111575
Edinburgh,United Kingdom,Edinburgh,Edinburgh,GB,482005
Eindhoven,Netherlands,Eindhoven,Eindhoven,NL,223209
Elblag,Poland,Elblag,Elblag,PL,117164
Elche/Elx,Spain,Elche/Elx,Elche/Elx,ES,235566
Emmen,Netherlands,Emmen,Emmen,NL,107775
Enschede,Netherlands,Enschede,Enschede,NL,158553
Erfurt,Germany,Erfurt,Erfurt,DE,213699
Erlangen,Germany,Erlangen,Erlangen,DE,111962
Esbjerg,Denmark,Esbjerg,Esbjerg,DK,115529
Espoo,Finland,Espoo,Espoo,FI,292796
Essen,Germany,Essen,Essen,DE,583109
Ferrara,Italy,Ferrara,Ferrara,IT,130771
Florence,Italy,Florence,Firenze,IT,365019
Foggia,Italy,Foggia,Foggia,IT,147135
Forli,Italy,Forli,Forli,IT,116983
Frankfurt Am Main,Germany,Frankfurt Am Main,Frankfurt Am Main,DE,753056
Frederiksberg,Denmark,Frederiksberg,Frederiksberg,DK,102940
Freiburg Im Breisgau,Germany,Freiburg Im Breisgau,Freiburg Im Breisgau,DE,230241
Fuenlabrada,Spain,Fuenlabrada,Fuenlabrada,ES,192612
Funchal,Portugal,Funchal,Funchal,PT,105701
Fürth,Germany,Fürth,Fürth,DE,127748
Gdansk,Poland,Gdansk,Gdansk,PL,472094
Gdynia,Poland,Gdynia,Gdynia,PL,243124
Gelsenkirchen,Germany,Gelsenkirchen,Gelsenkirchen,DE,260654
Geneva,Switzerland,Geneva,Genève,CH,203401
Genoa,Italy,Genoa,Genova,IT,563807
Getafe,Spain,Getafe,Getafe,ES,183872
Ghent,Belgium,Ghent,Gent,BE,248358
Gijón,Spain,Gijón,Gijón,ES,269311
Girona,Spain,Girona,Girona,ES,101648
Giugliano In Campania,Italy,Giugliano In Campania,Giugliano In Campania,IT,123061
Glasgow,United Kingdom,Glasgow,Glasgow,GB,1209143
Gliwice,Poland,Gliwice,Gliwice,PL,177056
Gomel,Belarus,Gomel,Gomel,BY,510243
Gorzów Wielkopolski,Poland,Gorzów Wielkopolski,Gorzów Wielkopolski,PL,121878
Gothenburg,Sweden,Gothenburg,Göteborg,SE,491629
Granada,Spain,Granada,Granada,ES,233680
Graz,Austria,Graz,Graz,AT,288806
Grenoble,France,Grenoble,Grenoble,FR,160649
Grodno,Belarus,Grodno,Grodno,BY,356686
Groningen,Netherlands,Groningen,Groningen,NL,200336
Györ,Hungary,Györ,Györ,HU,133340
